"distance","structure","question","participant","cond__","cats__","effect1__","effect2__","estimate__","se__","lower__","upper__"
58.7878787878788,"elliptical",NA,NA,"1","elliptical",58.7878787878788,"elliptical",0.00137527557846973,0.000952100113741164,0.000270571076502878,0.00500813964410899
60.7474747474747,"elliptical",NA,NA,"1","elliptical",60.7474747474747,"elliptical",0.00111265277945931,0.000799828345215918,0.000210633907095583,0.00418632053143229
62.7070707070707,"elliptical",NA,NA,"1","elliptical",62.7070707070707,"elliptical",0.000901508162103295,0.000670471164159499,0.000163994982089165,0.00349893842418245
64.6666666666667,"elliptical",NA,NA,"1","elliptical",64.6666666666667,"elliptical",0.000729687705141446,0.000560952961676261,0.000126478925647385,0.00292413640820538
66.6262626262626,"elliptical",NA,NA,"1","elliptical",66.6262626262626,"elliptical",0.000598320830561263,0.000469452360500023,9.55542078025426e-05,0.00244356906550658
68.5858585858586,"elliptical",NA,NA,"1","elliptical",68.5858585858586,"elliptical",0.000486723093334911,0.000389918260008228,7.21893645181718e-05,0.00204683510775189
70.5454545454545,"elliptical",NA,NA,"1","elliptical",70.5454545454545,"elliptical",0.000396896769916806,0.000317666350180912,5.45367423183639e-05,0.00172668566602335
72.5050505050505,"elliptical",NA,NA,"1","elliptical",72.5050505050505,"elliptical",0.00032057082929346,0.000266373497197768,4.12001082742219e-05,0.00145343168025079
74.4646464646465,"elliptical",NA,NA,"1","elliptical",74.4646464646465,"elliptical",0.000258918351169953,0.000220074554767389,3.11244141243069e-05,0.00121988897317641
76.4242424242424,"elliptical",NA,NA,"1","elliptical",76.4242424242424,"elliptical",0.000209119864718396,0.000181776070453783,2.35533445608261e-05,0.00102391475848002
78.3838383838384,"elliptical",NA,NA,"1","elliptical",78.3838383838384,"elliptical",0.000168897166421962,0.000148702989718234,1.78740413824837e-05,0.000859031625851589
80.3434343434343,"elliptical",NA,NA,"1","elliptical",80.3434343434343,"elliptical",0.00013640957566052,0.000121819626777422,1.35651619816301e-05,0.000712194214911567
82.3030303030303,"elliptical",NA,NA,"1","elliptical",82.3030303030303,"elliptical",0.00011049740558495,0.000101471575252775,1.02957950888979e-05,0.000590484059568491
84.2626262626263,"elliptical",NA,NA,"1","elliptical",84.2626262626263,"elliptical",8.90162037487318e-05,8.51386509271884e-05,7.81498362040423e-06,0.00048959933401876
86.2222222222222,"elliptical",NA,NA,"1","elliptical",86.2222222222222,"elliptical",7.18605856719203e-05,6.97310892138915e-05,5.93239546879645e-06,0.000405974251728631
88.1818181818182,"elliptical",NA,NA,"1","elliptical",88.1818181818182,"elliptical",5.81863861615318e-05,5.71089763912647e-05,4.5177129545139e-06,0.000336653433859541
90.1414141414141,"elliptical",NA,NA,"1","elliptical",90.1414141414141,"elliptical",4.74239498935386e-05,4.74676447119703e-05,3.47447106717639e-06,0.000279187599539511
